CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
 2212, 2212, 2841.6964,    0.0000, 5766.6635,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 5, 4, 0,5,6, 6,3,3,3,2,2,2, 3,1,6
 2213, 2213,  387.5782,  517.6273,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 5, 1, 4, 0,3,3, 7,3,1,2,6,6,2, 5,2,2
 2214, 2214,  785.6587,    0.0000, 1994.0067,1,3, 1,6,6,1,96,2,6,6,1,1,1,1,1,1,1,1,5,1,1,2, 5, 5, 4, 0,2,5, 4,2,3,3,1,1,3, 1,4,6
 2215, 2215, 2475.6044,    0.0000, 4226.3962,1,3, 1,6,6,2,96,2,6,6,2,4,3,3,2,2,3,2,3,2,2,2, 3, 5, 1, 4,2,3, 4,3,2,2,2,2,3, 2,5,5
 2216, 2216, 2384.1570, 4672.8093,    0.0000,2,2, 2,6,6,2,96,2,6,6,2,2,2,1,3,1,1,1,5,1,7,1, 6,96,96,96,6,6, 5,3,2,1,2,1,5, 7,1,3
 2217, 2217, 2045.4074, 3891.8390,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,1,2,4,3,2,4,1,1,3, 3, 5, 3, 0,3,3, 7,3,3,2,2,2,3, 3,2,4
 2218, 2218,  305.4143,    0.0000,  939.1716,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 1, 1,5,6, 1,3,1,1,1,2,3, 3,1,2
 2219, 2219, 3036.8205,    0.0000, 8003.8586,1,3, 1,6,6,3,96,2,6,6,3,4,4,2,3,2,5,1,3,1,2,3, 3, 1, 3, 2,4,3, 5,3,3,3,3,3,4, 1,2,4
 2220, 2220,  244.9305,    0.0000,  525.2971,1,3, 1,6,6,1,96,2,6,6,1,2,3,2,3,2,1,1,3,1,2,4, 4, 1, 1, 0,7,6, 5,1,3,3,3,3,3, 1,4,4
 2221, 2221,  607.2354, 1400.7225,    0.0000,2,4, 1,6,1,6,96,2,6,6,6,6,1,1,3,2,4,6,6,2,6,2, 3, 3, 4, 2,4,2, 5,3,2,2,2,2,3, 5,1,2
 2222, 2222, 1953.2454,    0.0000, 3926.9445,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 6,96,96,96,6,6, 7,3,4,3,2,2,2, 3,3,6
 2223, 2223,  337.8869,  681.6274,    0.0000,2,2, 8,2,2,6,96,2,6,6,6,6,1,1,2,2,2,6,6,1,6,3, 5, 5, 3, 0,4,3, 5,3,3,2,2,2,3, 7,3,3
 2224, 2224,  653.5499,    0.0000, 1402.7501,1,3, 7,1,6,2,96,2,6,6,2,2,1,1,1,2,4,2,4,2,2,5, 5, 5, 3, 0,5,6, 5,3,4,3,3,2,4, 1,2,2
 2225, 2225, 1242.4551,    0.0000, 2146.2539,1,2, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 1, 1, 4, 0,5,6, 7,3,1,1,1,1,3, 2,1,3
 2226, 2226,  186.1485,    0.0000,  313.2848,1,3, 1,6,2,6,96,2,6,6,6,6,1,1,3,4,2,6,6,1,6,3, 1, 3, 5,10,2,3, 4,2,2,2,9,9,2, 5,2,3
 2227, 2227,  313.2974,  719.8364,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 3, 3, 0,4,4, 3,3,2,2,1,1,2, 5,3,6
 2228, 2228,  269.4680,    0.0000,  552.0798,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 6,96,96,96,6,6, 6,3,5,3,6,6,4, 6,1,1
