CASEID,recid,wght_per,wght_csp,wght_snt,spltsmpl,whw120gr,whw_230,whw_240,jsr_01gr,jsr_02,jsr_03,jsr_04,jsr_05,jsr_06,jsr_07,jsr_08,jsr_09,jsr_10,wir_01,wir_02,wir_03,wir_04,wir_05,wir_06,wir_07,heh_01,heh_02,heh_03,heh_04,heh_09,heh_10,heh_11,drr_110,smk_05,srh_110,srh_115,fam_03,fam_04,smg_01,smg_02,ttlincg2,famincg2
10400,10400,  941.8511, 1574.9322,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,2,1,1,3,1,3,2,4,2,2,2, 3, 5, 1, 0,5,6, 5,3,2,1,2,2,3, 2,1,4
10401,10401,   91.7271,    0.0000,  191.4297,1,4, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 3, 1, 4,4,3, 5,3,5,5,6,6,4, 6,3,3
10402,10402,  539.3988,    0.0000,  987.4317,1,1, 7,2,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 1, 4, 0,4,5, 3,1,2,1,1,1,2, 3,2,4
10403,10403,  298.7874,  587.8965,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 3, 4, 4,3,4, 2,3,2,2,6,6,2, 6,2,2
10404,10404, 1597.9550,    0.0000, 4962.2196,1,4, 1,6,6,1,96,2,6,6,1,1,1,1,1,1,4,1,4,2,2,1, 4, 1, 1, 0,1,2, 7,3,2,2,1,1,2, 5,1,5
10405,10405, 2077.4104,    0.0000, 4429.9441,1,4, 1,6,6,2,96,2,6,6,2,4,3,3,4,3,1,5,4,1,1,3, 4, 4, 3, 4,2,3, 5,3,3,3,4,2,4, 2,4,6
10406,10406,  112.9945,    0.0000,  337.6323,1,3, 1,6,6,1,96,2,6,6,1,1,3,5,1,3,3,1,4,1,2,2, 5, 5, 1, 0,3,3, 3,3,1,3,6,6,3, 2,3,3
10407,10407, 1249.6667,    0.0000, 2700.9528,1,3, 1,6,6,2,96,1,2,3,2,2,1,2,3,1,1,2,5,1,2,2, 3, 3, 4,15,4,3, 5,3,2,4,2,2,4, 5,2,4
10408,10408, 2016.4661,    0.0000, 5014.7987,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 6,96,96,96,6,6, 6,3,3,1,1,2,2, 3,1,3
10409,10409, 1263.5547, 3432.0385,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 1, 4, 2,4,4, 3,3,1,1,6,6,3, 2,3,4
10410,10410, 4141.2085, 7298.5405,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 6,96,96,96,6,6, 6,1,2,3,9,9,5, 3,1,2
10411,10411,  218.0072,    0.0000,  507.9855,1,3, 1,6,6,2,96,2,6,6,2,2,2,2,3,1,2,3,4,1,1,3, 3, 5, 3, 7,3,3, 6,1,4,2,3,3,2, 5,4,6
10412,10412,  882.2321, 1615.6832,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 1, 4, 0,3,4, 4,3,4,3,6,6,2, 6,2,2
10413,10413, 1249.3062,    0.0000, 3160.3213,1,2, 8,1,2,6,96,1,2,1,6,6,2,2,2,1,1,6,6,2,6,3, 4, 5, 3, 0,2,3, 5,1,3,4,1,2,4, 7,1,1
10414,10414, 2670.5589,    0.0000, 3540.9746,1,4, 4,1,6,9,96,9,6,6,9,9,9,9,9,9,9,9,9,9,9,3, 2, 3, 1, 4,2,2, 6,3,3,2,4,2,4, 1,2,2
10415,10415, 2297.2344, 4808.3129,    0.0000,2,4, 1,6,6,1,96,2,6,6,1,1,2,2,3,2,2,3,5,1,1,3, 2, 3, 1, 0,4,2, 2,3,3,2,2,2,3, 1,6,6
10416,10416, 2507.9395,    0.0000, 3977.6123,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 3, 4, 4,2,1, 7,3,1,1,1,1,1,96,1,2
10417,10417, 3498.6617,    0.0000, 7417.8600,1,3, 1,6,6,2,96,2,6,6,1,2,2,1,2,2,1,2,3,1,2,2, 4, 5, 3, 6,4,4, 2,3,1,2,1,1,3, 1,3,6
10418,10418,  534.0442, 1130.5899,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,3,3,1,5,1,3,3,2,1,3, 3, 5, 3, 0,4,4, 5,3,2,2,4,1,2, 5,4,6
10419,10419,  816.8242, 1421.2632,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 6,96,96,96,6,6, 5,3,2,1,6,6,1,96,3,3
10420,10420, 1124.2166, 2178.5796,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 1, 3, 0,5,6, 6,3,3,2,6,6,1,96,2,2
10421,10421,  226.0530,    0.0000,  380.1215,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 4,7,6, 2,3,3,2,6,6,3, 3,3,3
10422,10422,  618.0690,    0.0000, 1617.0943,1,2, 8,2,6,2,96,1,2,3,2,2,2,2,2,1,2,2,4,2,2,3, 3, 6, 1, 2,3,4, 3,3,2,2,6,6,3, 2,2,2
10423,10423,  419.2405,  786.3828,    0.0000,2,3, 1,6,6,1,96,2,6,6,2,1,1,1,1,1,2,2,5,2,1,3, 5, 3, 3, 0,3,2, 4,1,3,2,9,9,1,96,2,2
10424,10424, 1619.9449,    0.0000, 2338.0368,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 3, 3, 1,7,6, 1,3,4,5,2,3,3, 6,3,6
10425,10425,  937.7704,    0.0000, 1873.7276,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 5, 3, 3, 0,5,6, 6,3,2,2,6,6,3, 7,2,2
10426,10426,  452.1870,    0.0000,  837.7401,1,2, 1,6,6,1,96,2,6,6,1,2,1,1,1,1,1,1,4,2,1,3, 4, 4, 3, 0,5,6, 3,1,1,1,1,1,1,96,2,2
10427,10427,  298.0661,  736.3985,    0.0000,2,4, 1,6,6,2,96,2,6,6,1,3,2,2,3,1,1,3,4,1,1,4, 2, 3, 1,15,4,3, 2,3,3,3,2,2,3, 2,4,6
10428,10428,  725.1336, 1436.4709,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 5,3,3,1,6,6,1,96,2,2
10429,10429, 2226.3185,    0.0000, 3836.5362,1,3, 1,6,1,6,96,2,6,6,6,6,1,3,1,1,1,6,6,1,6,3, 2, 1, 3, 0,7,6, 6,2,3,1,6,6,1,96,1,1
10430,10430,   93.0881,    0.0000,  405.4311,1,4, 1,6,6,4, 6,2,6,6,3,3,3,2,3,5,5,7,4,7,2,3, 4, 5, 6, 1,1,4, 7,1,3,4,6,6,4, 1,1,1
10431,10431, 1678.1435,    0.0000, 3217.0758,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 3, 3, 0,4,3, 5,3,1,2,1,1,3, 3,2,4
10432,10432, 1634.4605,    0.0000, 3654.1204,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 1, 3, 1,5,6, 5,3,3,2,1,1,1,96,1,3
10433,10433,  301.7444,    0.0000,  611.1576,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 6,96,96,96,6,6, 5,1,5,3,6,6,4, 2,1,1
10434,10434, 3825.0977,    0.0000, 8136.5594,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 5, 5, 1, 0,3,5, 7,3,3,3,3,2,2, 4,1,1
10435,10435, 3933.0415, 8696.5863,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 1,2,2, 7,3,2,2,1,1,2, 3,2,4
10436,10436,  396.5520,    0.0000, 1145.4501,1,9, 7,2,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 4, 5, 1, 0,3,5, 4,3,3,3,6,6,3, 3,1,1
10437,10437,  349.3940,  797.6760,    0.0000,2,4, 8,2,6,1,96,2,6,6,2,2,2,2,3,2,1,4,4,1,2,4, 3, 5, 3, 1,2,4, 3,3,3,2,2,2,2, 5,4,5
10438,10438, 2147.0555,    0.0000, 3724.9089,1,3, 1,6,6,3,96,2,6,6,1,4,3,3,2,3,2,3,5,2,2,3, 2, 3, 1, 5,3,4, 3,3,3,4,4,4,5, 3,3,3
10439,10439, 1885.3348,    0.0000, 4237.4967,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 4, 0,1,2, 4,3,2,1,2,1,2, 6,2,4
10440,10440, 1624.8703, 4417.5907,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 0,5,6, 7,3,2,3,2,1,3, 5,2,5
10441,10441,  353.3894,    0.0000,  475.7152,1,3, 6,2,6,2,96,2,6,6,3,3,3,2,1,2,4,1,3,1,1,4, 2, 5, 5, 0,4,3, 5,3,2,3,2,2,2, 5,6,6
10442,10442, 3102.9929, 5978.6137,    0.0000,2,4, 1,6,6,1,96,2,6,6,1,2,2,2,2,2,3,3,4,1,1,3, 2, 5, 4, 3,2,4, 3,3,3,3,3,2,3, 1,4,5
10443,10443, 1536.0486,    0.0000, 3229.5871,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 5, 1, 0,3,4, 6,1,4,3,3,2,3, 4,2,2
10444,10444, 1159.9104,    0.0000, 2437.1043,1,3, 8,1,6,2,96,1,1,1,2,2,2,3,1,5,5,2,4,1,2,3, 3, 3, 1, 0,5,6, 5,3,3,3,6,6,1,96,4,4
10445,10445,  534.2937,  989.6961,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 2, 5, 1, 4,3,5, 7,1,4,4,2,2,4, 6,1,2
10446,10446,  238.0597,    0.0000,  381.7009,1,3, 4,2,6,2,96,2,6,6,2,2,2,2,2,3,1,2,4,1,2,4, 3, 6, 4, 4,4,4, 3,1,4,3,6,6,3, 5,1,1
10447,10447, 1330.7358,    0.0000, 3016.1625,1,4, 4,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 2, 5, 1, 0,5,6, 5,1,3,2,1,1,4, 2,1,3
10448,10448,  270.9522,  471.5567,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,3,2,2,2,1,4,1,3,2,2,5, 1, 3, 1, 2,4,3, 7,3,3,1,6,6,3, 3,3,3
10449,10449, 9400.3973,    0.0000,17670.3570,1,4, 3,6,6,3,96,1,5,2,2,3,3,3,1,3,4,2,2,2,1,3, 2, 4, 4,10,2,5, 5,3,3,3,2,2,3, 2,1,5
10450,10450, 1013.9722, 1563.2602,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 6,96,96,96,6,6, 5,2,4,2,6,6,4, 6,1,1
10451,10451, 1094.4178, 2185.2003,    0.0000,2,4, 1,6,6,1,96,2,6,6,1,1,1,1,1,5,5,1,1,1,1,2, 3, 4, 1, 4,5,6, 7,1,3,3,6,6,3,98,2,2
10452,10452, 1915.1928,    0.0000, 4651.2467,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 4, 0,4,4, 6,3,4,3,2,2,3, 6,1,2
10453,10453,  792.8688, 2508.5798,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 3, 4, 0,3,3, 5,3,3,3,6,6,2, 2,1,1
10454,10454, 4481.7323,    0.0000,13240.5601,1,3, 1,6,6,3,96,1,3,6,1,3,3,1,1,1,2,2,3,1,2,4, 5, 5, 1, 0,1,3, 3,3,1,1,3,2,1,96,2,3
10455,10455, 4604.0322, 6908.8415,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,1,2,1,2,4,1,1,3, 1, 5, 2,15,3,2, 3,2,2,4,2,2,2,97,2,6
10456,10456,  221.4770,  350.3121,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,1,1,1,2,2,3,1,1,3, 1, 5, 2, 0,4,5, 7,3,2,2,6,6,2, 7,2,2
10457,10457, 4074.5521,    0.0000, 8090.6007,1,3, 1,6,6,2,96,2,6,6,2,1,3,3,1,1,3,3,3,1,2,2, 4, 5, 2, 1,4,1, 5,1,2,1,1,1,3, 2,2,6
10458,10458, 2358.9072, 3988.4466,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 5, 3, 1,7,6, 1,1,3,3,2,1,2, 3,1,3
10459,10459,  550.5346,  918.2100,    0.0000,2,3, 2,6,6,1,96,2,6,6,1,1,2,1,3,5,3,1,3,1,2,4, 3, 5, 1, 0,1,5, 6,3,5,3,6,6,1,96,3,3
10460,10460, 1144.4028, 2237.0561,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 5, 3, 2,1,2, 1,3,3,2,2,2,3, 3,2,6
10461,10461,  786.6629,    0.0000, 1286.9770,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 2, 3, 2, 0,3,5, 6,1,5,3,6,6,2, 7,1,1
10462,10462, 1750.9913,    0.0000, 3767.2566,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 6, 4,5,6, 5,3,4,4,6,6,4, 6,2,2
10463,10463,  426.0044,  924.9437,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 3,97, 8,4,4, 7,3,7,1,6,6,2, 2,1,1
10464,10464,  746.3917,    0.0000, 1711.8167,1,4, 1,6,6,2,96,1,1,1,1,4,3,1,1,3,1,3,4,1,2,2, 4, 5, 5, 0,4,4, 5,3,1,1,6,6,3, 1,4,4
10465,10465,  314.0713,  615.8743,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 4, 3, 0,5,6, 7,3,2,2,6,6,1,96,2,2
10466,10466,  218.4800,    0.0000,  327.9654,1,4, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 6, 3, 1,3,3, 6,3,3,3,3,3,2, 2,2,4
10467,10467,  977.4157,    0.0000, 1768.7555,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 3, 4, 6,5,6, 2,3,2,3,6,6,1,96,6,6
10468,10468,  573.2350,    0.0000, 1154.7272,1,3, 6,1,6,2,96,2,6,6,3,3,2,2,2,2,1,2,4,1,1,4, 5, 5, 1, 0,5,6, 7,3,4,5,3,3,4, 2,3,5
10469,10469, 1461.1833, 2988.2257,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,2,2,2,2,2,2,3,1,1,2, 2, 3, 1, 5,4,3, 4,3,2,2,2,2,3, 2,4,6
10470,10470,  458.6035, 1244.4972,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 3, 4, 2,3,3, 3,3,3,3,6,6,3, 3,2,2
10471,10471,  343.5266,    0.0000,  758.2766,1,4, 1,6,6,4,98,2,6,6,2,4,3,3,3,3,2,4,5,1,2,4, 4, 3, 1, 5,4,5, 3,1,2,5,6,6,3, 1,1,1
10472,10472,  305.3438,  823.9436,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 5, 6, 1,5,6, 7,3,2,2,2,2,3, 5,1,3
10473,10473,  537.8444,    0.0000,  963.0674,1,1, 9,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 2, 3, 1, 0,4,4, 5,3,3,2,4,2,3, 3,1,5
10474,10474, 3383.9681, 6067.6962,    0.0000,2,3, 1,6,6,3,96,2,6,6,3,2,3,2,1,1,2,2,4,1,2,2, 3, 1, 3, 1,4,5, 2,3,3,2,4,1,2, 2,3,3
10475,10475,  783.6151,    0.0000, 1463.6163,1,3, 1,6,6,3,96,1,1,3,1,1,3,2,2,3,2,3,4,1,1,3, 2, 4, 4, 3,3,3, 5,3,3,3,6,6,3, 1,1,1
10476,10476, 2163.0158, 3727.3426,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 5, 3, 4, 0,4,4, 1,3,2,2,1,1,3, 3,1,2
10477,10477, 1944.3408,    0.0000, 4678.3818,1,3, 1,6,6,2,96,2,6,6,1,4,2,1,3,2,3,2,4,2,2,3, 3, 5, 1, 0,4,3, 5,3,2,3,2,2,3, 1,3,5
10478,10478,  980.2360,    0.0000, 1945.0796,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 1, 4, 0,3,3, 3,3,4,1,6,6,2, 6,1,1
10479,10479, 3870.0661, 6519.6012,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,2,3,2,2,4,2,2,2,1,2,3, 3, 5, 3, 0,2,2, 3,3,2,2,2,2,2, 1,6,6
10480,10480,  878.8061,    0.0000, 1907.4340,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 4, 2,3,5, 1,3,2,3,6,6,3, 5,3,3
10481,10481,  361.1830,    0.0000,  759.7149,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 3, 1,4,3, 5,3,4,2,2,2,3, 6,1,3
10482,10482,  533.0300, 1533.9215,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 1, 4, 0,4,3, 4,3,3,1,6,6,1,96,6,6
10483,10483,  784.6599,    0.0000, 1528.2446,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 3, 5, 4, 0,4,4, 6,1,3,3,6,6,3, 3,2,2
10484,10484, 3989.3087,    0.0000, 8012.0694,1,3, 1,6,6,3,96,1,5,1,2,2,2,2,7,3,1,2,4,1,1,2, 2, 5, 1, 5,5,6, 5,3,2,2,2,2,3, 5,6,6
10485,10485, 2024.9972,    0.0000, 3744.2560,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 1, 2,4,4, 2,1,3,1,6,6,2, 3,1,1
10486,10486,  227.2857,    0.0000,  563.1742,1,1, 7,2,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 2, 2, 6, 0,4,3, 3,3,1,1,6,6,2, 7,3,3
10487,10487, 3582.7454,    0.0000, 7114.0799,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 3, 1, 2,4,3, 7,3,4,3,2,2,3, 3,1,1
10488,10488, 2152.9201,    0.0000, 4372.0890,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 5, 3, 1,4,3, 4,3,2,1,1,2,2, 5,1,6
10489,10489, 1186.6271, 1886.6378,    0.0000,2,3, 4,1,6,2,96,2,6,6,1,1,1,1,1,5,1,1,5,2,7,1, 6,96,96,96,6,6, 7,3,1,2,9,9,5, 5,4,4
10490,10490, 2077.4104, 4439.9176,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,4,3,3,1,2,3,2,3,1,1,5, 2, 5, 1, 1,4,5, 6,3,3,2,3,3,3, 5,5,6
10491,10491,  184.5848,  318.0707,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 1, 1, 4,2,3, 5,1,3,3,6,6,3, 6,4,4
10492,10492, 1444.0981,    0.0000, 2578.3798,1,4, 5,2,1,6,96,2,6,6,6,6,1,1,1,1,1,6,6,2,6,3, 1,98, 1, 0,1,1, 6,1,2,1,6,6,1,96,3,3
10493,10493,  958.2452,    0.0000, 1562.8164,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 1,15,4,4, 6,3,5,3,4,2,3, 3,1,2
10494,10494, 1032.2173, 1656.8229,    0.0000,2,3, 4,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 5, 3, 0,2,2, 4,3,2,2,6,6,1,96,4,4
10495,10495, 1211.5240, 2213.8370,    0.0000,2,1, 7,1,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1, 3, 3, 3, 4,1,3, 7,3,3,3,2,2,2, 2,1,1
10496,10496,  768.6519, 1405.2550,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 2, 3, 3, 4,3,3, 6,3,2,1,6,6,3, 3,2,2
10497,10497, 6440.5362, 8705.8863,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 3, 5, 3, 0,4,5, 3,3,2,3,1,1,3, 7,1,6
10498,10498, 2876.7328,    0.0000, 6171.3666,1,3, 5,2,6,2,96,2,6,6,2,1,1,1,1,1,1,1,5,1,1,2, 4, 5, 3, 1,2,2, 5,3,3,3,2,2,1,96,3,6
10499,10499,  321.9825,  546.9844,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 3, 4, 0,7,6, 4,3,1,1,6,6,1,96,3,3
10500,10500, 2187.9311, 4451.9697,    0.0000,2,2, 1,6,1,6,96,2,6,6,6,6,1,2,2,2,2,6,6,1,6,3, 3,97, 4, 2,1,3, 4,3,3,3,2,2,3, 7,2,3
10501,10501,  546.8356,  799.3714,    0.0000,2,4,97,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4, 3, 5, 1, 4,2,3, 2,2,3,2,4,2,3, 3,3,3
10502,10502,  789.1244, 1926.8642,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 3, 1, 0,3,2, 5,3,2,2,6,6,3, 3,6,6
10503,10503,  693.0763, 1117.1311,    0.0000,2,3, 1,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 1, 5, 2, 3,4,3, 7,1,4,3,6,6,3, 2,1,1
10504,10504,   57.5537,  112.1827,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 5, 3, 0,5,6, 7,3,3,3,6,6,2, 7,2,2
10505,10505,  594.9794, 1053.8595,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 4, 3, 4, 1,5,6, 1,3,3,3,6,6,4, 3,1,1
10506,10506,  487.7171, 1035.1169,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 5, 5, 4, 0,3,3, 6,2,4,4,2,2,3, 6,1,4
10507,10507,  775.4949,    0.0000, 1271.8846,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 3, 3, 4, 0,4,2, 6,3,2,2,3,2,3, 6,2,4
10508,10508, 2103.2376,    0.0000, 3794.1599,1,3, 1,6,6,2,96,2,6,6,1,2,2,2,1,1,3,3,4,2,1,4, 5, 5, 1, 4,7,6, 5,3,3,2,2,2,4, 2,2,4
10509,10509,   80.8564,    0.0000,  162.2189,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 4, 2, 4, 0,5,6, 5,3,4,2,6,6,1,96,1,1
10510,10510,  368.7128,    0.0000, 1065.9700,1,4, 8,2,6,1,96,2,6,6,2,2,1,1,1,2,2,1,3,2,1,3, 4, 5, 3, 4,3,3, 4,3,2,2,1,1,3, 1,2,4
10511,10511,  892.5044,    0.0000, 1745.5031,1,3, 4,2,6,1,96,2,6,6,1,2,2,2,3,3,1,2,4,1,1,1, 2, 3, 1, 3,4,2, 5,3,2,1,6,6,2, 1,5,5
10512,10512, 3322.8724, 4945.1792,    0.0000,2,4, 1,6,1,6,96,2,6,6,6,6,1,2,3,3,1,6,6,1,6,3, 5, 5, 3, 1,3,4, 3,1,2,1,2,2,3, 1,1,2
10513,10513,  676.3782,    0.0000, 1759.1471,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5, 6,96,96,96,6,6, 5,1,4,2,3,3,4, 2,1,2
10514,10514,  378.5389,  627.3264,    0.0000,2,3, 1,6,6,2,96,2,6,6,1,2,2,1,2,2,2,3,4,1,2,2, 5, 5, 1, 0,3,3, 5,3,1,1,3,2,2, 3,2,6
10515,10515,  668.8133, 1197.8730,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 6,3,1,1,6,6,1,96,2,2
10516,10516,  935.8692,    0.0000, 1935.9264,1,3, 1,6,6,1,96,2,6,6,2,2,2,1,2,3,3,2,4,2,2,3, 4, 5, 1, 0,3,5, 4,2,4,2,9,9,2, 3,4,6
10517,10517, 2195.4136,    0.0000, 4663.9840,1,3, 1,6,6,2,96,2,6,6,2,2,2,1,1,3,2,1,3,2,1,2, 2, 3, 4, 0,2,7, 5,3,3,3,2,2,4, 7,4,6
10518,10518,  597.5877, 1183.3935,    0.0000,2,3, 1,6,6,1,96,1,5,3,1,1,2,1,1,4,1,3,4,1,1,2, 3, 3, 1, 0,3,3, 4,3,3,3,6,6,3, 5,6,6
10519,10519, 1621.9013, 3161.5493,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 7,3,4,3,2,2,3, 5,1,2
10520,10520,  111.8703,  419.7648,    0.0000,2,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2, 6,96,96,96,6,6, 5,3,3,2,6,6,3, 6,1,1
10521,10521, 1734.1702,    0.0000, 2909.2745,1,3, 1,6,6,2,96,1,5,2,1,2,2,2,2,2,1,2,4,1,2,4, 2, 3, 1, 5,4,4, 7,3,1,2,6,6,3, 1,1,1
10522,10522,  788.8730,    0.0000, 1445.3410,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 6,96,96,96,6,6, 7,3,3,3,6,6,3, 2,2,2
10523,10523,  671.9957, 1510.4086,    0.0000,2,9, 8,2,9,6,96,9,6,6,6,6,9,9,9,9,9,6,6,9,6,4, 3, 5, 5, 1,4,3, 7,1,4,2,9,9,3,97,2,4
10524,10524, 1746.6845, 3113.3766,    0.0000,2,3, 1,6,6,2,96,2,6,6,2,3,3,2,3,2,1,3,4,1,2,3, 3, 5, 1, 5,4,3, 4,1,4,2,3,3,4, 1,3,3
10525,10525, 5573.1665,    0.0000,10620.8098,1,3, 8,1,6,2,96,1,2,3,1,1,1,1,1,1,1,1,5,2,1,4, 2, 3, 4, 7,5,6, 5,3,3,1,2,2,3, 2,1,4
10526,10526, 2043.4834, 4474.9450,    0.0000,2,3, 1,6,6,1,96,2,6,6,1,1,1,2,2,2,2,2,4,1,1,3, 2, 5, 1, 2,4,3, 5,3,3,2,9,9,4, 2,6,6
10527,10527, 1572.0622,    0.0000, 2938.6792,1,6,96,6,6,6,96,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3, 2, 1, 4, 0,5,6, 7,3,3,3,6,6,1,96,2,2
